Epoch #,Start Time,End Time,Score #, Score
1,01/02/2019 09:00:00,01/02/2019 09:00:10,1,Wake
2,01/02/2019 09:00:10,01/02/2019 09:00:20,1,Wake
3,01/02/2019 09:00:20,01/02/2019 09:00:30,1,Wake
4,01/02/2019 09:00:30,01/02/2019 09:00:40,1,Wake
5,01/02/2019 09:00:40,01/02/2019 09:00:50,1,Wake
6,01/02/2019 09:00:50,01/02/2019 09:01:00,1,Wake
7,01/02/2019 09:01:00,01/02/2019 09:01:10,1,Wake
8,01/02/2019 09:01:10,01/02/2019 09:01:20,1,Wake
9,01/02/2019 09:01:20,01/02/2019 09:01:30,1,Wake
10,01/02/2019 09:01:30,01/02/2019 09:01:40,1,Wake
11,01/02/2019 09:01:40,01/02/2019 09:01:50,1,Wake
12,01/02/2019 09:01:50,01/02/2019 09:02:00,1,Wake
13,01/02/2019 09:02:00,01/02/2019 09:02:10,1,Wake
14,01/02/2019 09:02:10,01/02/2019 09:02:20,1,Wake
15,01/02/2019 09:02:20,01/02/2019 09:02:30,1,Wake
16,01/02/2019 09:02:30,01/02/2019 09:02:40,1,Wake
17,01/02/2019 09:02:40,01/02/2019 09:02:50,1,Wake
18,01/02/2019 09:02:50,01/02/2019 09:03:00,1,Wake
19,01/02/2019 09:03:00,01/02/2019 09:03:10,1,Wake
20,01/02/2019 09:03:10,01/02/2019 09:03:20,1,Wake
21,01/02/2019 09:03:20,01/02/2019 09:03:30,1,Wake
22,01/02/2019 09:03:30,01/02/2019 09:03:40,1,Wake
23,01/02/2019 09:03:40,01/02/2019 09:03:50,1,Wake
24,01/02/2019 09:03:50,01/02/2019 09:04:00,1,Wake
25,01/02/2019 09:04:00,01/02/2019 09:04:10,1,Wake
26,01/02/2019 09:04:10,01/02/2019 09:04:20,1,Wake
27,01/02/2019 09:04:20,01/02/2019 09:04:30,1,Wake
28,01/02/2019 09:04:30,01/02/2019 09:04:40,1,Wake
29,01/02/2019 09:04:40,01/02/2019 09:04:50,1,Wake
30,01/02/2019 09:04:50,01/02/2019 09:05:00,1,Wake
31,01/02/2019 09:05:00,01/02/2019 09:05:10,1,Wake
32,01/02/2019 09:05:10,01/02/2019 09:05:20,1,Wake
33,01/02/2019 09:05:20,01/02/2019 09:05:30,1,Wake
34,01/02/2019 09:05:30,01/02/2019 09:05:40,1,Wake
35,01/02/2019 09:05:40,01/02/2019 09:05:50,1,Wake
36,01/02/2019 09:05:50,01/02/2019 09:06:00,1,Wake
37,01/02/2019 09:06:00,01/02/2019 09:06:10,1,Wake
38,01/02/2019 09:06:10,01/02/2019 09:06:20,1,Wake
39,01/02/2019 09:06:20,01/02/2019 09:06:30,1,Wake
40,01/02/2019 09:06:30,01/02/2019 09:06:40,1,Wake
41,01/02/2019 09:06:40,01/02/2019 09:06:50,1,Wake
42,01/02/2019 09:06:50,01/02/2019 09:07:00,1,Wake
43,01/02/2019 09:07:00,01/02/2019 09:07:10,1,Wake
44,01/02/2019 09:07:10,01/02/2019 09:07:20,1,Wake
45,01/02/2019 09:07:20,01/02/2019 09:07:30,1,Wake
46,01/02/2019 09:07:30,01/02/2019 09:07:40,1,Wake
47,01/02/2019 09:07:40,01/02/2019 09:07:50,1,Wake
48,01/02/2019 09:07:50,01/02/2019 09:08:00,1,Wake
49,01/02/2019 09:08:00,01/02/2019 09:08:10,1,Wake
50,01/02/2019 09:08:10,01/02/2019 09:08:20,1,Wake
51,01/02/2019 09:08:20,01/02/2019 09:08:30,1,Wake
52,01/02/2019 09:08:30,01/02/2019 09:08:40,1,Wake
53,01/02/2019 09:08:40,01/02/2019 09:08:50,1,Wake
54,01/02/2019 09:08:50,01/02/2019 09:09:00,1,Wake
55,01/02/2019 09:09:00,01/02/2019 09:09:10,1,Wake
56,01/02/2019 09:09:10,01/02/2019 09:09:20,1,Wake
57,01/02/2019 09:09:20,01/02/2019 09:09:30,1,Wake
58,01/02/2019 09:09:30,01/02/2019 09:09:40,1,Wake
59,01/02/2019 09:09:40,01/02/2019 09:09:50,1,Wake
60,01/02/2019 09:09:50,01/02/2019 09:10:00,1,Wake
61,01/02/2019 09:10:00,01/02/2019 09:10:10,1,Wake
62,01/02/2019 09:10:10,01/02/2019 09:10:20,1,Wake
63,01/02/2019 09:10:20,01/02/2019 09:10:30,1,Wake
64,01/02/2019 09:10:30,01/02/2019 09:10:40,1,Wake
65,01/02/2019 09:10:40,01/02/2019 09:10:50,1,Wake
66,01/02/2019 09:10:50,01/02/2019 09:11:00,1,Wake
67,01/02/2019 09:11:00,01/02/2019 09:11:10,1,Wake
68,01/02/2019 09:11:10,01/02/2019 09:11:20,1,Wake
69,01/02/2019 09:11:20,01/02/2019 09:11:30,1,Wake
70,01/02/2019 09:11:30,01/02/2019 09:11:40,1,Wake
71,01/02/2019 09:11:40,01/02/2019 09:11:50,1,Wake
72,01/02/2019 09:11:50,01/02/2019 09:12:00,1,Wake
73,01/02/2019 09:12:00,01/02/2019 09:12:10,1,Wake
74,01/02/2019 09:12:10,01/02/2019 09:12:20,1,Wake
75,01/02/2019 09:12:20,01/02/2019 09:12:30,1,Wake
76,01/02/2019 09:12:30,01/02/2019 09:12:40,1,Wake
77,01/02/2019 09:12:40,01/02/2019 09:12:50,1,Wake
78,01/02/2019 09:12:50,01/02/2019 09:13:00,1,Wake
79,01/02/2019 09:13:00,01/02/2019 09:13:10,1,Wake
80,01/02/2019 09:13:10,01/02/2019 09:13:20,1,Wake
81,01/02/2019 09:13:20,01/02/2019 09:13:30,1,Wake
82,01/02/2019 09:13:30,01/02/2019 09:13:40,1,Wake
83,01/02/2019 09:13:40,01/02/2019 09:13:50,1,Wake
84,01/02/2019 09:13:50,01/02/2019 09:14:00,1,Wake
85,01/02/2019 09:14:00,01/02/2019 09:14:10,1,Wake
86,01/02/2019 09:14:10,01/02/2019 09:14:20,1,Wake
87,01/02/2019 09:14:20,01/02/2019 09:14:30,1,Wake
88,01/02/2019 09:14:30,01/02/2019 09:14:40,1,Wake
89,01/02/2019 09:14:40,01/02/2019 09:14:50,1,Wake
90,01/02/2019 09:14:50,01/02/2019 09:15:00,1,Wake
91,01/02/2019 09:15:00,01/02/2019 09:15:10,1,Wake
92,01/02/2019 09:15:10,01/02/2019 09:15:20,1,Wake
93,01/02/2019 09:15:20,01/02/2019 09:15:30,1,Wake
94,01/02/2019 09:15:30,01/02/2019 09:15:40,1,Wake
95,01/02/2019 09:15:40,01/02/2019 09:15:50,1,Wake
96,01/02/2019 09:15:50,01/02/2019 09:16:00,1,Wake
97,01/02/2019 09:16:00,01/02/2019 09:16:10,1,Wake
98,01/02/2019 09:16:10,01/02/2019 09:16:20,1,Wake
99,01/02/2019 09:16:20,01/02/2019 09:16:30,1,Wake
100,01/02/2019 09:16:30,01/02/2019 09:16:40,1,Wake
101,01/02/2019 09:16:40,01/02/2019 09:16:50,1,Wake
102,01/02/2019 09:16:50,01/02/2019 09:17:00,1,Wake
103,01/02/2019 09:17:00,01/02/2019 09:17:10,1,Wake
104,01/02/2019 09:17:10,01/02/2019 09:17:20,1,Wake
105,01/02/2019 09:17:20,01/02/2019 09:17:30,1,Wake
106,01/02/2019 09:17:30,01/02/2019 09:17:40,1,Wake
107,01/02/2019 09:17:40,01/02/2019 09:17:50,1,Wake
108,01/02/2019 09:17:50,01/02/2019 09:18:00,1,Wake
109,01/02/2019 09:18:00,01/02/2019 09:18:10,1,Wake
110,01/02/2019 09:18:10,01/02/2019 09:18:20,1,Wake
111,01/02/2019 09:18:20,01/02/2019 09:18:30,1,Wake
112,01/02/2019 09:18:30,01/02/2019 09:18:40,1,Wake
113,01/02/2019 09:18:40,01/02/2019 09:18:50,1,Wake
