,trial,genotype,day,scorer,file
0,335,A1,1,GS,../../data/Scores_with_multiple_scorers/335scores_GS.txt
1,335,A1,1,LJ,../../data/Scores_with_multiple_scorers/335scores_LJ.txt
2,335,A1,1,NG,../../data/Scores_with_multiple_scorers/335scores_NG.txt
3,336,A1,1,GS,../../data/Scores_with_multiple_scorers/336scores_GS.txt
4,336,A1,1,LJ,../../data/Scores_with_multiple_scorers/336scores_LJ.txt
5,336,A1,1,NG,../../data/Scores_with_multiple_scorers/336scores_NG.txt
6,345,A1,1,GS,../../data/Scores_with_multiple_scorers/345scores_GS.txt
7,345,A1,1,LJ,../../data/Scores_with_multiple_scorers/345scores_LJ.txt
8,345,A1,1,NG,../../data/Scores_with_multiple_scorers/345scores_NG.txt
9,347,A1,1,GS,../../data/Scores_with_multiple_scorers/347scores_GS.txt
10,347,A1,1,LJ,../../data/Scores_with_multiple_scorers/347scores_LJ.txt
11,347,A1,1,NG,../../data/Scores_with_multiple_scorers/347scores_NG.txt
12,374,A1,1,GS,../../data/Scores_with_multiple_scorers/374scores_GS.txt
13,374,A1,1,LJ,../../data/Scores_with_multiple_scorers/374scores_LJ.txt
14,374,A1,1,NG,../../data/Scores_with_multiple_scorers/374scores_NG.txt
